Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
425161,Bluetongue,;3;,53.751891,15.727087,176225GOLA DOLNA,Poland,Europe,2025-12-03T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425160,Bluetongue,;3;,53.409915,14.687798,176226SZCZECIN,Poland,Europe,2025-12-05T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,Domestic,Goats,",WOAH (former OIE),,,Confirmed
425127,Bluetongue,;3;,54.195819,22.083414,176217LISY,Poland,Europe,2025-12-01T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425158,Bluetongue,;3;,53.26038,15.38408,176228SUCHANÓWKO,Poland,Europe,2025-12-01T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425159,Bluetongue,;3;,54.39889,16.412182,176227RUSKO,Poland,Europe,2025-11-26T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425157,Bluetongue,;3;,53.26038,15.38408,176229SUCHANÓWKO,Poland,Europe,2025-12-01T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425123,Bluetongue,;3;,52.767903,15.702341,176224GO CIM,Poland,Europe,2025-12-05T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425125,Bluetongue,;3;,52.247639,16.431588,176221SNOWIDOWO,Poland,Europe,2025-12-04T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425126,Bluetongue,;3;,54.272009,22.313604,176218JANOWO,Poland,Europe,2025-12-08T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425124,Bluetongue,;3;,52.816713,15.66189,176223P AWIN,Poland,Europe,2025-11-26T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425128,Bluetongue,;3;,54.323697,22.023819,176216RAPA,Poland,Europe,2025-11-28T00:00:00Z,2025-12-31T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425150,Bluetongue,;3;,50.920155,16.393304,176172JAWORZYNA  L SKA,Poland,Europe,2025-12-05T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425141,Bluetongue,;3;,51.011649,15.248234,176181MI OSZÓW,Poland,Europe,2025-12-12T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
425147,Bluetongue,;3;,51.006679,16.573888,176175KOSTOM OTY,Poland,Europe,2025-12-05T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425152,Bluetongue,;3;,50.86995,15.986134,176170MARCISZÓW,Poland,Europe,2025-11-27T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
425149,Bluetongue,;3;,51.393694,16.424303,176173 CINAWA,Poland,Europe,2025-12-05T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425135,Bluetongue,;3;,50.306248,16.935997,176187STARY GIERA TÓW,Poland,Europe,2025-12-16T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425155,Bluetongue,;3;,50.8359,15.7091,176167PODGÓRZYN,Poland,Europe,2025-11-28T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425139,Bluetongue,;3;,51.038488,15.265642,176183LE NA,Poland,Europe,2025-12-12T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425142,Bluetongue,;3;,50.99645,15.91372,176180STARA KRA NICA,Poland,Europe,2025-12-11T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
425133,Bluetongue,;3;,50.67199,16.33411,176189 OMNICA,Poland,Europe,2025-12-17T00:00:00Z,2025-12-30T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
